,WikidataID,itemLabel,sitelinks
647,Q2677,Kaiser Wilhelm II,122
648,Q2677,Wilhelm II of Germany,122
649,Q2677,"Wilhelm II, German Emperor",122
650,Q2677,Wilhelm II.,122
651,Q2677,William II,122
652,Q2757,Lech Aleksander Kaczyński,112
653,Q2866,Alexander Grigoryevich Lukashenko,145
654,Q2866,Alexander Lukashenko,145
655,Q2866,Aliaksandr Lukashenka,145
656,Q2866,Aliaksandr Ryhoravich Lukashenka,145
657,Q11881,J. Tyler,135
658,Q11881,John Tyler Jr,135
659,Q11881,John Tyler Jr.,135
660,Q11881,"John Tyler, Jr",135
661,Q11881,"John Tyler, Jr.",135
662,Q11881,President Tyler,135
663,Q11891,J. K. Polk,138
664,Q11891,J. Polk,138
665,Q11891,James Knox Polk,138
666,Q11891,James Polk,138
667,Q11891,President Polk,138
668,Q11970,Carlos Davila,15
669,Q11970,Carlos Gregorio Davila Espinoza,15
670,Q11970,Carlos Gregorio Dávila Espinoza,15
671,Q12002,Alberto Lleras,31
672,Q12005,Manuel Cisneros Sanchez,8
673,Q12306,M. Fillmore,136
674,Q12306,President Fillmore,136
675,Q12312,F. Pierce,134
676,Q12312,President Pierce,134
677,Q12325,J. Buchanan,136
678,Q48231,Idi Amin Dada,104
679,Q48231,Idi Amin Dada,104
680,Q48231,Idi Amin Dada,104
681,Q48231,Idi Amin Dada,104
682,Q48231,Idi Amin Dada Oumee,104
683,Q48231,Idi Amin Dada Oumee,104
684,Q48231,Idi Amin Dada Oumee,104
685,Q48231,Idi Amin Dada Oumee,104
686,Q3239,James King Gibson,5
687,Q3251,Elisha Edward Meredith,6
688,Q3251,Elisha Meredith,6
